item;geo;year;value
DIV;AL;2018;4846
DIV;AL;2017;4508
DIV;AL;2016;5582
DIV;AL;2015;3761
DIV;AL;2014;4240
DIV;AL;2013;NA
DIV;AL;2012;NA
DIV;AL;2011;4807
DIV;AL;2010;NA
DIV;AL;2009;NA
DIV;AL;2008;3610
DIV;AL;2007;3305
DIV;AL;2006;4075
DIV;AL;2005;3929
DIV;AL;2004;2968
DIV;AL;2003;3634
DIV;AL;2002;3494
DIV;AL;2001;2462
DIV;AL;2000;2168
DIV;AL;1999;2114
DIV;AL;1998;2005
DIV;AL;1997;1430
DIV;AL;1996;1901
DIV;AL;1995;2333
DIV;AL;1994;2108
DIV;AL;1993;2251
DIV;AL;1992;2361
DIV;AL;1991;2236
DIV;AL;1990;2675
DIV;AL;1989;2628
DIV;AL;1988;2597
DIV;AL;1987;2537
DIV;AL;1986;2383
DIV;AL;1985;2381
DIV;AL;1984;2335
DIV;AL;1983;2371
DIV;AL;1982;2206
DIV;AL;1981;2222
DIV;AL;1980;2024
DIV;AL;1979;1849
DIV;AL;1978;1836
DIV;AL;1977;2003
DIV;AL;1976;1900
DIV;AL;1975;1853
DIV;AL;1974;1934
DIV;AL;1973;1791
DIV;AL;1972;1718
DIV;AL;1971;1758
DIV;AL;1970;1625
DIV;AL;1969;1608
DIV;AL;1968;1773
DIV;AL;1967;1415
DIV;AL;1966;1217
DIV;AL;1965;1028
DIV;AL;1964;1104
DIV;AL;1963;1046
DIV;AL;1962;1236
DIV;AL;1961;1314
DIV;AL;1960;850
DIV;AM;2018;3820
DIV;AM;2017;NA
DIV;AM;2016;3648
DIV;AM;2015;3670
DIV;AM;2014;4496
DIV;AM;2013;NA
DIV;AM;2012;NA
DIV;AM;2011;3188
DIV;AM;2010;2997
DIV;AM;2009;2829
DIV;AM;2008;3031
DIV;AM;2007;2931
DIV;AM;2006;2797
DIV;AM;2005;2466
DIV;AM;2004;1968
DIV;AM;2003;NA
DIV;AM;2002;NA
DIV;AM;2001;NA
DIV;AM;2000;NA
DIV;AM;1999;NA
DIV;AM;1998;NA
DIV;AM;1997;NA
DIV;AM;1996;NA
DIV;AM;1995;NA
DIV;AM;1994;NA
DIV;AM;1993;NA
DIV;AM;1992;NA
DIV;AM;1991;NA
DIV;AM;1990;NA
DIV;AM;1989;NA
DIV;AM;1988;NA
DIV;AM;1987;NA
DIV;AM;1986;NA
DIV;AM;1985;NA
DIV;AM;1984;NA
DIV;AM;1983;NA
DIV;AM;1982;NA
DIV;AM;1981;NA
DIV;AM;1980;NA
DIV;AM;1979;NA
DIV;AM;1978;NA
DIV;AM;1977;NA
DIV;AM;1976;NA
DIV;AM;1975;NA
DIV;AM;1974;NA
DIV;AM;1973;NA
DIV;AM;1972;NA
DIV;AM;1971;NA
DIV;AM;1970;NA
DIV;AM;1969;NA
DIV;AM;1968;NA
DIV;AM;1967;NA
DIV;AM;1966;NA
DIV;AM;1965;NA
DIV;AM;1964;NA
DIV;AM;1963;NA
DIV;AM;1962;NA
DIV;AM;1961;NA
DIV;AM;1960;NA
DIV;AT;2018;16304
DIV;AT;2017;16180
DIV;AT;2016;15919
DIV;AT;2015;16351
