item;geo;year;value
AGEMOTH;AM;1960;NA
AGEMOTH;AT;2018;30.9
AGEMOTH;AT;2017;30.7
AGEMOTH;AT;2016;30.6
AGEMOTH;AT;2015;30.6
AGEMOTH;AT;2014;30.4
AGEMOTH;AT;2013;30.3
AGEMOTH;AT;2012;30.2
AGEMOTH;AT;2011;30.0
AGEMOTH;AT;2010;29.8
AGEMOTH;AT;2009;29.7
AGEMOTH;AT;2008;29.5
AGEMOTH;AT;2007;29.4
AGEMOTH;AT;2006;29.2
AGEMOTH;AT;2005;29.0
AGEMOTH;AT;2004;28.8
AGEMOTH;AT;2003;28.8
AGEMOTH;AT;2002;28.6
AGEMOTH;AT;2001;28.4
AGEMOTH;AT;2000;28.2
AGEMOTH;AT;1999;28.2
AGEMOTH;AT;1998;28.0
AGEMOTH;AT;1997;27.9
AGEMOTH;AT;1996;27.8
AGEMOTH;AT;1995;27.7
AGEMOTH;AT;1994;27.5
AGEMOTH;AT;1993;27.3
AGEMOTH;AT;1992;27.3
AGEMOTH;AT;1991;27.2
AGEMOTH;AT;1990;27.2
AGEMOTH;AT;1989;27.1
AGEMOTH;AT;1988;26.9
AGEMOTH;AT;1987;26.9
AGEMOTH;AT;1986;26.8
AGEMOTH;AT;1985;26.7
AGEMOTH;AT;1984;26.6
AGEMOTH;AT;1983;26.5
AGEMOTH;AT;1982;26.3
AGEMOTH;AT;1981;26.3
AGEMOTH;AT;1980;26.3
AGEMOTH;AT;1979;26.3
AGEMOTH;AT;1978;26.2
AGEMOTH;AT;1977;26.3
AGEMOTH;AT;1976;26.2
AGEMOTH;AT;1975;26.3
AGEMOTH;AT;1974;26.3
AGEMOTH;AT;1973;26.4
AGEMOTH;AT;1972;26.5
AGEMOTH;AT;1971;26.7
AGEMOTH;AT;1970;26.7
AGEMOTH;AT;1969;26.8
AGEMOTH;AT;1968;26.8
AGEMOTH;AT;1967;27.0
AGEMOTH;AT;1966;27.1
AGEMOTH;AT;1965;27.3
AGEMOTH;AT;1964;27.4
AGEMOTH;AT;1963;27.4
AGEMOTH;AT;1962;27.5
AGEMOTH;AT;1961;27.5
AGEMOTH;AT;1960;27.6
AGEMOTH;AZ;2018;25.6
AGEMOTH;AZ;2017;25.6
AGEMOTH;AZ;2016;25.5
AGEMOTH;AZ;2015;25.6
AGEMOTH;AZ;2014;25.6
AGEMOTH;AZ;2013;25.8
AGEMOTH;AZ;2012;25.8
AGEMOTH;AZ;2011;NA
AGEMOTH;AZ;2010;25.9
AGEMOTH;AZ;2009;26.1
AGEMOTH;AZ;2008;26.1
AGEMOTH;AZ;2007;26.0
AGEMOTH;AZ;2006;26.1
AGEMOTH;AZ;2005;NA
AGEMOTH;AZ;2004;NA
AGEMOTH;AZ;2003;NA
AGEMOTH;AZ;2002;NA
AGEMOTH;AZ;2001;NA
AGEMOTH;AZ;2000;NA
AGEMOTH;AZ;1999;NA
AGEMOTH;AZ;1998;NA
AGEMOTH;AZ;1997;NA
AGEMOTH;AZ;1996;NA
AGEMOTH;AZ;1995;NA
AGEMOTH;AZ;1994;NA
AGEMOTH;AZ;1993;NA
AGEMOTH;AZ;1992;NA
AGEMOTH;AZ;1991;NA
AGEMOTH;AZ;1990;NA
AGEMOTH;AZ;1989;NA
AGEMOTH;AZ;1988;NA
AGEMOTH;AZ;1987;NA
AGEMOTH;AZ;1986;NA
AGEMOTH;AZ;1985;NA
AGEMOTH;AZ;1984;NA
AGEMOTH;AZ;1983;NA
AGEMOTH;AZ;1982;NA
AGEMOTH;AZ;1981;NA
AGEMOTH;AZ;1980;NA
AGEMOTH;AZ;1979;NA
AGEMOTH;AZ;1978;NA
AGEMOTH;AZ;1977;NA
AGEMOTH;AZ;1976;NA
AGEMOTH;AZ;1975;NA
AGEMOTH;AZ;1974;NA
AGEMOTH;AZ;1973;NA
AGEMOTH;AZ;1972;NA
AGEMOTH;AZ;1971;NA
AGEMOTH;AZ;1970;NA
AGEMOTH;AZ;1969;NA
AGEMOTH;AZ;1968;NA
AGEMOTH;AZ;1967;NA
AGEMOTH;AZ;1966;NA
AGEMOTH;AZ;1965;NA
AGEMOTH;AZ;1964;NA
AGEMOTH;AZ;1963;NA
AGEMOTH;AZ;1962;NA
AGEMOTH;AZ;1961;NA
AGEMOTH;AZ;1960;NA
AGEMOTH;BE;2018;30.7
AGEMOTH;BE;2017;30.6
AGEMOTH;BE;2016;30.5
AGEMOTH;BE;2015;30.4
AGEMOTH;BE;2014;30.3
AGEMOTH;BE;2013;30.2
AGEMOTH;BE;2012;30.0
AGEMOTH;BE;2011;29.8
AGEMOTH;BE;2010;29.8
AGEMOTH;BE;2009;29.6
AGEMOTH;BE;2008;29.6
AGEMOTH;BE;2007;29.5
AGEMOTH;BE;2006;29.4
AGEMOTH;BE;2005;29.3
AGEMOTH;BE;2004;29.2
AGEMOTH;BE;2003;29.1
AGEMOTH;BE;2002;29.0
AGEMOTH;BE;2001;28.9
AGEMOTH;BE;2000;28.8
AGEMOTH;BE;1999;28.8
AGEMOTH;BE;1998;28.7
AGEMOTH;BE;1997;28.6
AGEMOTH;BE;1996;28.5
AGEMOTH;BE;1995;28.5
AGEMOTH;BE;1994;28.3
AGEMOTH;BE;1993;28.2
AGEMOTH;BE;1992;28.1
AGEMOTH;BE;1991;28.0
AGEMOTH;BE;1990;27.9
AGEMOTH;BE;1989;27.8
AGEMOTH;BE;1988;27.6
AGEMOTH;BE;1987;27.5
AGEMOTH;BE;1986;27.3
AGEMOTH;BE;1985;27.2
AGEMOTH;BE;1984;27.0
AGEMOTH;BE;1983;26.9
AGEMOTH;BE;1982;26.8
AGEMOTH;BE;1981;26.7
AGEMOTH;BE;1980;26.6
AGEMOTH;BE;1979;26.6
AGEMOTH;BE;1978;26.6
AGEMOTH;BE;1977;26.6
AGEMOTH;BE;1976;26.6
AGEMOTH;BE;1975;26.6
AGEMOTH;BE;1974;26.7
AGEMOTH;BE;1973;26.8
AGEMOTH;BE;1972;26.9
AGEMOTH;BE;1971;27.0
AGEMOTH;BE;1970;27.2
AGEMOTH;BE;1969;27.2
AGEMOTH;BE;1968;27.3
AGEMOTH;BE;1967;27.4
AGEMOTH;BE;1966;27.5
AGEMOTH;BE;1965;27.6
AGEMOTH;BE;1964;27.7
AGEMOTH;BE;1963;27.8
AGEMOTH;BE;1962;27.9
AGEMOTH;BE;1961;27.9
AGEMOTH;BE;1960;28.0
AGEMOTH;BG;2018;27.7
AGEMOTH;BG;2017;27.6
AGEMOTH;BG;2016;27.6
AGEMOTH;BG;2015;27.4
AGEMOTH;BG;2014;27.3
AGEMOTH;BG;2013;27.1
AGEMOTH;BG;2012;27.1
AGEMOTH;BG;2011;27.1
AGEMOTH;BG;2010;27.0
AGEMOTH;BG;2009;26.7
AGEMOTH;BG;2008;26.5
AGEMOTH;BG;2007;26.4
AGEMOTH;BG;2006;26.1
AGEMOTH;BG;2005;25.9
AGEMOTH;BG;2004;25.6
AGEMOTH;BG;2003;25.5
AGEMOTH;BG;2002;25.3
AGEMOTH;BG;2001;25.1
AGEMOTH;BG;2000;25.0
AGEMOTH;BG;1999;24.7
AGEMOTH;BG;1998;24.5
AGEMOTH;BG;1997;24.4
AGEMOTH;BG;1996;24.3
AGEMOTH;BG;1995;24.1
AGEMOTH;BG;1994;24.0
AGEMOTH;BG;1993;23.8
AGEMOTH;BG;1992;23.7
AGEMOTH;BG;1991;23.7
AGEMOTH;BG;1990;23.9
AGEMOTH;BG;1989;23.9
AGEMOTH;BG;1988;24.0
AGEMOTH;BG;1987;24.0
AGEMOTH;BG;1986;24.0
AGEMOTH;BG;1985;23.9
AGEMOTH;BG;1984;23.9
AGEMOTH;BG;1983;23.9
AGEMOTH;BG;1982;23.8
AGEMOTH;BG;1981;23.9
AGEMOTH;BG;1980;23.9
AGEMOTH;BG;1979;24.0
AGEMOTH;BG;1978;24.1
AGEMOTH;BG;1977;24.2
AGEMOTH;BG;1976;24.3
AGEMOTH;BG;1975;24.5
AGEMOTH;BG;1974;24.5
AGEMOTH;BG;1973;24.4
AGEMOTH;BG;1972;24.5
AGEMOTH;BG;1971;24.5
AGEMOTH;BG;1970;24.7
AGEMOTH;BG;1969;24.8
AGEMOTH;BG;1968;24.7
AGEMOTH;BG;1967;24.7
AGEMOTH;BG;1966;24.7
AGEMOTH;BG;1965;24.8
AGEMOTH;BG;1964;24.9
AGEMOTH;BG;1963;25.0
AGEMOTH;BG;1962;25.1
AGEMOTH;BG;1961;25.1
AGEMOTH;BG;1960;25.1
AGEMOTH;BY;2018;28.6
AGEMOTH;BY;2017;28.5
AGEMOTH;BY;2016;28.4
AGEMOTH;BY;2015;28.2
AGEMOTH;BY;2014;28.0
AGEMOTH;BY;2013;27.8
AGEMOTH;BY;2012;27.5
AGEMOTH;BY;2011;27.5
AGEMOTH;BY;2010;NA
AGEMOTH;BY;2009;NA
AGEMOTH;BY;2008;27.0
AGEMOTH;BY;2007;26.9
AGEMOTH;BY;2006;26.6
AGEMOTH;BY;2005;NA
AGEMOTH;BY;2004;NA
AGEMOTH;BY;2003;NA
AGEMOTH;BY;2002;NA
AGEMOTH;BY;2001;NA
AGEMOTH;BY;2000;NA
AGEMOTH;BY;1999;NA
AGEMOTH;BY;1998;NA
AGEMOTH;BY;1997;NA
AGEMOTH;BY;1996;NA
AGEMOTH;BY;1995;NA
AGEMOTH;BY;1994;NA
AGEMOTH;BY;1993;NA
AGEMOTH;BY;1992;NA
AGEMOTH;BY;1991;NA
AGEMOTH;BY;1990;NA
AGEMOTH;BY;1989;NA
AGEMOTH;BY;1988;NA
AGEMOTH;BY;1987;NA
AGEMOTH;BY;1986;NA
AGEMOTH;BY;1985;NA
AGEMOTH;BY;1984;NA
AGEMOTH;BY;1983;NA
AGEMOTH;BY;1982;NA
AGEMOTH;BY;1981;NA
AGEMOTH;BY;1980;NA
AGEMOTH;BY;1979;NA
AGEMOTH;BY;1978;NA
AGEMOTH;BY;1977;NA
AGEMOTH;BY;1976;NA
AGEMOTH;BY;1975;NA
AGEMOTH;BY;1974;NA
AGEMOTH;BY;1973;NA
AGEMOTH;BY;1972;NA
AGEMOTH;BY;1971;NA
AGEMOTH;BY;1970;NA
AGEMOTH;BY;1969;NA
AGEMOTH;BY;1968;NA
AGEMOTH;BY;1967;NA
AGEMOTH;BY;1966;NA
AGEMOTH;BY;1965;NA
AGEMOTH;BY;1964;NA
AGEMOTH;BY;1963;NA
AGEMOTH;BY;1962;NA
AGEMOTH;BY;1961;NA
AGEMOTH;BY;1960;NA
AGEMOTH;CH;2018;32.0
AGEMOTH;CH;2017;31.9
AGEMOTH;CH;2016;31.9
AGEMOTH;CH;2015;31.8
AGEMOTH;CH;2014;31.8
AGEMOTH;CH;2013;31.6
AGEMOTH;CH;2012;31.5
AGEMOTH;CH;2011;31.4
AGEMOTH;CH;2010;31.2
AGEMOTH;CH;2009;31.2
AGEMOTH;CH;2008;31.0
AGEMOTH;CH;2007;30.9
AGEMOTH;CH;2006;30.7
AGEMOTH;CH;2005;30.6
AGEMOTH;CH;2004;30.4
AGEMOTH;CH;2003;30.2
AGEMOTH;CH;2002;30.1
AGEMOTH;CH;2001;30.0
AGEMOTH;CH;2000;29.8
AGEMOTH;CH;1999;29.7
AGEMOTH;CH;1998;29.7
AGEMOTH;CH;1997;29.6
AGEMOTH;CH;1996;29.5
AGEMOTH;CH;1995;29.4
AGEMOTH;CH;1994;29.4
AGEMOTH;CH;1993;29.2
AGEMOTH;CH;1992;29.1
AGEMOTH;CH;1991;29.0
AGEMOTH;CH;1990;28.9
AGEMOTH;CH;1989;28.9
AGEMOTH;CH;1988;28.8
AGEMOTH;CH;1987;28.7
AGEMOTH;CH;1986;28.5
AGEMOTH;CH;1985;28.4
AGEMOTH;CH;1984;28.2
AGEMOTH;CH;1983;28.1
AGEMOTH;CH;1982;28.0
AGEMOTH;CH;1981;27.9
AGEMOTH;CH;1980;27.9
AGEMOTH;CH;1979;27.8
AGEMOTH;CH;1978;27.8
AGEMOTH;CH;1977;27.8
AGEMOTH;CH;1976;27.6
AGEMOTH;CH;1975;27.5
AGEMOTH;CH;1974;27.5
AGEMOTH;CH;1973;27.6
AGEMOTH;CH;1972;27.7
AGEMOTH;CH;1971;27.7
AGEMOTH;CH;1970;27.8
AGEMOTH;CH;1969;27.9
AGEMOTH;CH;1968;27.5
AGEMOTH;CH;1967;27.5
AGEMOTH;CH;1966;27.7
AGEMOTH;CH;1965;27.7
AGEMOTH;CH;1964;27.8
AGEMOTH;CH;1963;27.8
AGEMOTH;CH;1962;27.9
AGEMOTH;CH;1961;28.1
AGEMOTH;CH;1960;28.7
AGEMOTH;CY;2018;31.5
AGEMOTH;CY;2017;31.4
AGEMOTH;CY;2016;31.4
AGEMOTH;CY;2015;31.3
AGEMOTH;CY;2014;31.0
AGEMOTH;CY;2013;30.8
AGEMOTH;CY;2012;30.6
AGEMOTH;CY;2011;30.5
AGEMOTH;CY;2010;30.4
AGEMOTH;CY;2009;30.3
AGEMOTH;CY;2008;30.1
AGEMOTH;CY;2007;30.0
AGEMOTH;CY;2006;29.8
AGEMOTH;CY;2005;29.5
AGEMOTH;CY;2004;29.2
AGEMOTH;CY;2003;29.3
AGEMOTH;CY;2002;29.1
AGEMOTH;CY;2001;28.9
AGEMOTH;CY;2000;28.7
AGEMOTH;CY;1999;28.6
AGEMOTH;CY;1998;28.3
AGEMOTH;CY;1997;28.3
AGEMOTH;CY;1996;28.1
AGEMOTH;CY;1995;28.1
AGEMOTH;CY;1994;27.8
AGEMOTH;CY;1993;27.7
AGEMOTH;CY;1992;27.4
AGEMOTH;CY;1991;27.2
AGEMOTH;CY;1990;27.1
AGEMOTH;CY;1989;27.1
AGEMOTH;CY;1988;27.0
AGEMOTH;CY;1987;26.9
AGEMOTH;CY;1986;27.0
AGEMOTH;CY;1985;27.0
AGEMOTH;CY;1984;26.7
AGEMOTH;CY;1983;26.7
AGEMOTH;CY;1982;26.7
AGEMOTH;CY;1981;NA
AGEMOTH;CY;1980;NA
AGEMOTH;CY;1979;NA
AGEMOTH;CY;1978;NA
AGEMOTH;CY;1977;NA
AGEMOTH;CY;1976;NA
AGEMOTH;CY;1975;NA
AGEMOTH;CY;1974;NA
AGEMOTH;CY;1973;NA
AGEMOTH;CY;1972;NA
AGEMOTH;CY;1971;NA
AGEMOTH;CY;1970;NA
AGEMOTH;CY;1969;NA
AGEMOTH;CY;1968;NA
AGEMOTH;CY;1967;NA
AGEMOTH;CY;1966;NA
AGEMOTH;CY;1965;NA
AGEMOTH;CY;1964;NA
AGEMOTH;CY;1963;NA
AGEMOTH;CY;1962;NA
AGEMOTH;CY;1961;NA
AGEMOTH;CY;1960;NA
AGEMOTH;CZ;2018;30.1
AGEMOTH;CZ;2017;30.0
AGEMOTH;CZ;2016;30.0
AGEMOTH;CZ;2015;30.0
AGEMOTH;CZ;2014;29.9
AGEMOTH;CZ;2013;29.9
AGEMOTH;CZ;2012;29.8
AGEMOTH;CZ;2011;29.7
AGEMOTH;CZ;2010;29.6
AGEMOTH;CZ;2009;29.4
AGEMOTH;CZ;2008;29.3
AGEMOTH;CZ;2007;29.1
AGEMOTH;CZ;2006;28.9
AGEMOTH;CZ;2005;28.6
AGEMOTH;CZ;2004;28.3
AGEMOTH;CZ;2003;28.0
AGEMOTH;CZ;2002;27.8
AGEMOTH;CZ;2001;27.5
AGEMOTH;CZ;2000;27.2
AGEMOTH;CZ;1999;26.9
AGEMOTH;CZ;1998;26.6
AGEMOTH;CZ;1997;26.4
AGEMOTH;CZ;1996;26.1
AGEMOTH;CZ;1995;25.8
AGEMOTH;CZ;1994;25.4
AGEMOTH;CZ;1993;25.0
AGEMOTH;CZ;1992;24.8
AGEMOTH;CZ;1991;24.7
AGEMOTH;CZ;1990;24.8
AGEMOTH;CZ;1989;24.8
AGEMOTH;CZ;1988;24.7
AGEMOTH;CZ;1987;24.7
AGEMOTH;CZ;1986;24.8
AGEMOTH;CZ;1985;24.7
AGEMOTH;CZ;1984;24.5
AGEMOTH;CZ;1983;24.5
AGEMOTH;CZ;1982;24.7
AGEMOTH;CZ;1981;24.9
AGEMOTH;CZ;1980;25.0
AGEMOTH;CZ;1979;25.0
AGEMOTH;CZ;1978;24.9
AGEMOTH;CZ;1977;24.8
AGEMOTH;CZ;1976;24.8
AGEMOTH;CZ;1975;24.8
AGEMOTH;CZ;1974;24.9
AGEMOTH;CZ;1973;25.0
AGEMOTH;CZ;1972;24.9
AGEMOTH;CZ;1971;24.9
AGEMOTH;CZ;1970;24.8
AGEMOTH;CZ;1969;24.8
AGEMOTH;CZ;1968;24.9
AGEMOTH;CZ;1967;25.0
AGEMOTH;CZ;1966;25.2
AGEMOTH;CZ;1965;25.5
AGEMOTH;CZ;1964;25.8
AGEMOTH;CZ;1963;25.7
AGEMOTH;CZ;1962;25.5
AGEMOTH;CZ;1961;25.6
AGEMOTH;CZ;1960;25.7
AGEMOTH;DE;2018;31.1
AGEMOTH;DE;2017;31.0
AGEMOTH;DE;2016;30.9
AGEMOTH;DE;2015;30.9
AGEMOTH;DE;2014;30.9
AGEMOTH;DE;2013;30.8
AGEMOTH;DE;2012;30.6
AGEMOTH;DE;2011;30.5
AGEMOTH;DE;2010;30.4
AGEMOTH;DE;2009;30.2
AGEMOTH;DE;2008;30.1
AGEMOTH;DE;2007;29.9
AGEMOTH;DE;2006;29.7
AGEMOTH;DE;2005;29.5
AGEMOTH;DE;2004;29.4
AGEMOTH;DE;2003;29.2
AGEMOTH;DE;2002;29.0
AGEMOTH;DE;2001;28.9
AGEMOTH;DE;2000;28.8
AGEMOTH;DE;1999;NA
AGEMOTH;DE;1998;NA
AGEMOTH;DE;1997;NA
AGEMOTH;DE;1996;NA
AGEMOTH;DE;1995;NA
AGEMOTH;DE;1994;NA
AGEMOTH;DE;1993;NA
AGEMOTH;DE;1992;NA
AGEMOTH;DE;1991;NA
AGEMOTH;DE;1990;NA
AGEMOTH;DE;1989;NA
AGEMOTH;DE;1988;NA
AGEMOTH;DE;1987;NA
AGEMOTH;DE;1986;NA
AGEMOTH;DE;1985;NA
AGEMOTH;DE;1984;NA
AGEMOTH;DE;1983;NA
AGEMOTH;DE;1982;NA
AGEMOTH;DE;1981;NA
AGEMOTH;DE;1980;NA
AGEMOTH;DE;1979;NA
AGEMOTH;DE;1978;NA
AGEMOTH;DE;1977;NA
AGEMOTH;DE;1976;NA
AGEMOTH;DE;1975;NA
AGEMOTH;DE;1974;NA
AGEMOTH;DE;1973;NA
AGEMOTH;DE;1972;NA
AGEMOTH;DE;1971;NA
AGEMOTH;DE;1970;NA
AGEMOTH;DE;1969;NA
AGEMOTH;DE;1968;NA
AGEMOTH;DE;1967;NA
AGEMOTH;DE;1966;NA
AGEMOTH;DE;1965;NA
AGEMOTH;DE;1964;NA
AGEMOTH;DE;1963;NA
AGEMOTH;DE;1962;NA
AGEMOTH;DE;1961;NA
AGEMOTH;DE;1960;NA
AGEMOTH;DE_TOT;2018;31.1
AGEMOTH;DE_TOT;2017;31.0
AGEMOTH;DE_TOT;2016;30.9
AGEMOTH;DE_TOT;2015;30.9
AGEMOTH;DE_TOT;2014;30.9
AGEMOTH;DE_TOT;2013;30.8
AGEMOTH;DE_TOT;2012;30.6
AGEMOTH;DE_TOT;2011;30.5
AGEMOTH;DE_TOT;2010;30.4
AGEMOTH;DE_TOT;2009;30.2
AGEMOTH;DE_TOT;2008;30.1
AGEMOTH;DE_TOT;2007;29.9
AGEMOTH;DE_TOT;2006;29.7
AGEMOTH;DE_TOT;2005;29.5
AGEMOTH;DE_TOT;2004;29.4
AGEMOTH;DE_TOT;2003;29.2
AGEMOTH;DE_TOT;2002;29.0
AGEMOTH;DE_TOT;2001;28.9
AGEMOTH;DE_TOT;2000;28.8
AGEMOTH;DE_TOT;1999;NA
AGEMOTH;DE_TOT;1998;NA
AGEMOTH;DE_TOT;1997;NA
AGEMOTH;DE_TOT;1996;NA
AGEMOTH;DE_TOT;1995;NA
AGEMOTH;DE_TOT;1994;NA
AGEMOTH;DE_TOT;1993;NA
AGEMOTH;DE_TOT;1992;NA
AGEMOTH;DE_TOT;1991;NA
AGEMOTH;DE_TOT;1990;NA
AGEMOTH;DE_TOT;1989;NA
AGEMOTH;DE_TOT;1988;NA
AGEMOTH;DE_TOT;1987;NA
AGEMOTH;DE_TOT;1986;NA
AGEMOTH;DE_TOT;1985;NA
AGEMOTH;DE_TOT;1984;NA
AGEMOTH;DE_TOT;1983;NA
AGEMOTH;DE_TOT;1982;NA
AGEMOTH;DE_TOT;1981;NA
AGEMOTH;DE_TOT;1980;NA
AGEMOTH;DE_TOT;1979;NA
AGEMOTH;DE_TOT;1978;NA
AGEMOTH;DE_TOT;1977;NA
AGEMOTH;DE_TOT;1976;NA
AGEMOTH;DE_TOT;1975;NA
AGEMOTH;DE_TOT;1974;NA
AGEMOTH;DE_TOT;1973;NA
AGEMOTH;DE_TOT;1972;NA
AGEMOTH;DE_TOT;1971;NA
AGEMOTH;DE_TOT;1970;NA
AGEMOTH;DE_TOT;1969;NA
AGEMOTH;DE_TOT;1968;NA
AGEMOTH;DE_TOT;1967;NA
AGEMOTH;DE_TOT;1966;NA
AGEMOTH;DE_TOT;1965;NA
AGEMOTH;DE_TOT;1964;NA
AGEMOTH;DE_TOT;1963;NA
AGEMOTH;DE_TOT;1962;NA
AGEMOTH;DE_TOT;1961;NA
AGEMOTH;DE_TOT;1960;NA
AGEMOTH;DK;2018;31.2
AGEMOTH;DK;2017;31.1
AGEMOTH;DK;2016;31.0
AGEMOTH;DK;2015;31.0
AGEMOTH;DK;2014;30.9
AGEMOTH;DK;2013;30.8
AGEMOTH;DK;2012;30.7
AGEMOTH;DK;2011;30.7
