unit;month;geo;year;value
NR;M01;AT;2013;7254
NR;M01;AT;2012;6988
NR;M01;AT;2011;6966
NR;M01;AT;2010;6937
NR;M01;AT;2009;8364
NR;M01;AT;2008;7292
NR;M01;AT;2007;6645
NR;M01;AT;2006;6708
NR;M01;AT;2005;7011
NR;M01;AT;2004;7471
NR;M01;AT;2003;7162
NR;M01;AT;2002;7017
NR;M01;AT;2001;6866
NR;M01;AT;2000;8560
NR;M01;AT;1999;7610
NR;M01;AT;1998;6848
NR;M01;AT;1997;7836
NR;M01;AT;1996;8309
NR;M01;AT;1995;7432
NR;M01;AT;1994;8452
NR;M01;AT;1993;7458
NR;M01;AT;1992;8022
NR;M01;AT;1991;7560
NR;M01;AT;1990;8107
NR;M01;AT;1989;8505
NR;M01;AT;1988;7387
NR;M01;AT;1987;8405
NR;M01;AT;1986;7844
NR;M01;AT;1985;8824
NR;M01;AT;1984;7811
NR;M01;AT;1983;9133
NR;M01;AT;1982;8599
NR;M01;AT;1981;8300
NR;M01;AT;1980;8576
NR;M01;AT;1979;8430
NR;M01;AT;1978;8577
NR;M01;AT;1977;8299
NR;M01;AT;1976;8182
NR;M01;AT;1975;11033
NR;M01;AT;1974;8175
NR;M01;AT;1973;10384
NR;M01;AT;1972;9891
NR;M01;AT;1971;9032
NR;M01;AT;1970;11836
NR;M01;AT;1969;9019
NR;M01;AT;1968;9926
NR;M01;AT;1967;8477
NR;M01;AT;1966;8756
NR;M01;AT;1965;8318
NR;M01;AT;1964;8248
NR;M01;AT;1963;8468
NR;M01;AT;1962;8689
NR;M01;AT;1961;8049
NR;M01;AT;1960;8402
NR;M01;AZ;2019;NA
NR;M01;AZ;2018;5284
NR;M01;AZ;2017;6085
NR;M01;AZ;2016;4953
NR;M01;AZ;2015;4982
NR;M01;AZ;2014;5489
NR;M01;AZ;2013;5196
NR;M01;AZ;2012;4732
NR;M01;AZ;2011;NA
NR;M01;AZ;2010;4988
NR;M01;AZ;2009;5235
NR;M01;AZ;2008;5134
NR;M01;AZ;2007;5143
NR;M01;AZ;2006;4421
NR;M01;AZ;2005;4958
NR;M01;AZ;2004;NA
NR;M01;AZ;2003;NA
NR;M01;AZ;2002;NA
NR;M01;AZ;2001;NA
NR;M01;AZ;2000;NA
NR;M01;AZ;1999;NA
NR;M01;AZ;1998;NA
NR;M01;AZ;1997;NA
NR;M01;AZ;1996;NA
NR;M01;AZ;1995;NA
NR;M01;AZ;1994;NA
NR;M01;AZ;1993;NA
NR;M01;AZ;1992;NA
NR;M01;AZ;1991;NA
NR;M01;AZ;1990;NA
NR;M01;AZ;1989;NA
NR;M01;AZ;1988;NA
NR;M01;AZ;1987;NA
NR;M01;AZ;1986;NA
NR;M01;AZ;1985;NA
NR;M01;AZ;1984;NA
NR;M01;AZ;1983;NA
NR;M01;AZ;1982;NA
NR;M01;AZ;1981;NA
NR;M01;AZ;1980;NA
NR;M01;AZ;1979;NA
NR;M01;AZ;1978;NA
NR;M01;AZ;1977;NA
NR;M01;AZ;1976;NA
NR;M01;AZ;1975;NA
NR;M01;AZ;1974;NA
NR;M01;AZ;1973;NA
NR;M01;AZ;1972;NA
NR;M01;AZ;1971;NA
NR;M01;AZ;1970;NA
NR;M01;AZ;1969;NA
NR;M01;AZ;1968;NA
NR;M01;AZ;1967;NA
NR;M01;AZ;1966;NA
NR;M01;AZ;1965;NA
NR;M01;AZ;1964;NA
NR;M01;AZ;1963;NA
NR;M01;AZ;1962;NA
NR;M01;AZ;1961;NA
NR;M01;AZ;1960;NA
NR;M01;BA;2019;NA
NR;M01;BA;2018;NA
NR;M01;BA;2017;NA
NR;M01;BA;2016;NA
NR;M01;BA;2015;NA
NR;M01;BA;2014;NA
NR;M01;BA;2013;NA
NR;M01;BA;2012;3183
NR;M01;BA;2011;NA
NR;M01;BA;2010;3229
NR;M01;BA;2009;3463
NR;M01;BA;2008;3424
NR;M01;BA;2007;3248
NR;M01;BA;2006;3061
NR;M01;BA;2005;2325
NR;M01;BA;2004;3193
NR;M01;BA;2003;NA
NR;M01;BA;2002;NA
NR;M01;BA;2001;NA
NR;M01;BA;2000;NA
NR;M01;BA;1999;NA
NR;M01;BA;1998;NA
NR;M01;BA;1997;NA
NR;M01;BA;1996;NA
NR;M01;BA;1995;NA
NR;M01;BA;1994;NA
NR;M01;BA;1993;NA
NR;M01;BA;1992;NA
NR;M01;BA;1991;NA
NR;M01;BA;1990;NA
NR;M01;BA;1989;NA
NR;M01;BA;1988;NA
NR;M01;BA;1987;NA
NR;M01;BA;1986;NA
NR;M01;BA;1985;NA
NR;M01;BA;1984;NA
NR;M01;BA;1983;NA
NR;M01;BA;1982;NA
NR;M01;BA;1981;NA
NR;M01;BA;1980;NA
